location_id,gt_country,predicted_country,country_match,dist_km,geoguessr_score,pred_lat,pred_lon,error
1NJsXTxIF9GGMDxC_1,Kyrgyzstan,Russia,False,3065.8,1080,55.7505,37.6175,
1NJsXTxIF9GGMDxC_2,Malaysia,Spain,False,10668.4,24,40.9094,-3.9528,
1NJsXTxIF9GGMDxC_3,Serbia,Spain,False,1483.6,2381,41.3826,2.1771,
1NJsXTxIF9GGMDxC_4,Argentina,United States,False,9456.0,44,33.951,-118.2063,
1NJsXTxIF9GGMDxC_5,South Africa,United States,False,14944.4,3,39.4169,-101.2921,
2xnQdwiCve2rHWVt_1,Thailand,United States,False,14245.2,4,31.2639,-98.5456,
2xnQdwiCve2rHWVt_2,Bangladesh,India,False,501.6,3891,22.9965,87.6856,
2xnQdwiCve2rHWVt_3,Indonesia,Vietnam,False,1554.5,2298,9.7509,105.2225,
2xnQdwiCve2rHWVt_4,Poland,Germany,False,573.7,3753,48.1371,11.5754,
2xnQdwiCve2rHWVt_5,Portugal,Spain,False,414.8,4063,40.4168,-3.7035,
3I4ZtihbhZy5qZzQ_1,Bangladesh,Democratic Republic of the Congo,False,7618.1,111,-2.9814,23.8223,
3I4ZtihbhZy5qZzQ_2,Australia,United States,False,14694.9,3,33.7545,-84.3898,
3I4ZtihbhZy5qZzQ_3,Canada,United States,False,2457.1,1464,42.3529,-83.1271,
3I4ZtihbhZy5qZzQ_4,New Zealand,United States,False,11665.0,15,31.991,-102.0713,
3I4ZtihbhZy5qZzQ_5,Panama,United States,False,3735.9,772,42.3529,-83.1271,
3OuVMcpGjmm0tVfG_1,Indonesia,Uganda,False,9276.5,48,1.5334,32.2167,
3OuVMcpGjmm0tVfG_2,New Zealand,Germany,False,18104.8,1,48.9468,11.4039,
3OuVMcpGjmm0tVfG_3,Indonesia,Indonesia,True,352.5,4192,-6.1754,106.8272,
3OuVMcpGjmm0tVfG_4,Brazil,Spain,False,7046.8,147,37.34,-4.5812,
3OuVMcpGjmm0tVfG_5,Argentina,United States,False,8092.5,87,33.4484,-112.0741,
3uP6lYo9pzx5Q0km_1,Norway,Germany,False,1461.0,2408,48.9468,11.4039,
3uP6lYo9pzx5Q0km_2,Norway,Canada,False,5299.6,353,46.8137,-71.2084,
3uP6lYo9pzx5Q0km_3,Czechia,United Kingdom,False,1312.9,2593,52.5054,-1.9647,
3uP6lYo9pzx5Q0km_4,Indonesia,France,False,18723.2,0,4.004,-53.0,
3uP6lYo9pzx5Q0km_5,Montenegro,United States,False,8219.9,82,35.75,-82.25,
4UvmdTHySo6AXW4M_1,Luxembourg,France,False,555.0,3788,47.4493,-0.3495,
4UvmdTHySo6AXW4M_2,Brazil,Spain,False,7958.5,93,37.34,-4.5812,
4UvmdTHySo6AXW4M_3,Poland,Russia,False,1770.0,2064,43.6712,40.3067,
4UvmdTHySo6AXW4M_4,United States,Australia,False,13255.4,7,-20.7275,139.499,
4UvmdTHySo6AXW4M_5,Cambodia,Italy,False,9102.2,53,44.9445,11.0495,
56Q4T4rpv9O9sCpP_1,Switzerland,Switzerland,True,62.3,4847,46.4979,9.8392,
56Q4T4rpv9O9sCpP_2,South Africa,United States,False,13451.6,6,42.3529,-83.1271,
56Q4T4rpv9O9sCpP_3,Sri Lanka,India,False,544.4,3809,11.9341,79.8306,
56Q4T4rpv9O9sCpP_4,Australia,United States,False,13773.4,5,41.737,-99.5874,
56Q4T4rpv9O9sCpP_5,South Africa,Canada,False,15564.2,2,55.0013,-115.0021,
5GS2RPgTrf85UZM5_1,Bulgaria,United States,False,10691.6,24,34.0219,-118.2859,
