location_id,gt_country,predicted_country,country_match,dist_km,geoguessr_score,pred_lat,pred_lon,error
1NJsXTxIF9GGMDxC_1,Kyrgyzstan,,False,,0,,,"Invalid json output: 
For troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/OUTPUT_PARSING_FAILURE "
1NJsXTxIF9GGMDxC_2,Malaysia,Germany,False,9396.9,46,51.1657,10.4515,
1NJsXTxIF9GGMDxC_3,Serbia,Germany,False,1135.5,2834,51.1657,9.4578,
1NJsXTxIF9GGMDxC_4,Argentina,United States,False,8468.3,72,37.0902,-95.7129,
1NJsXTxIF9GGMDxC_5,South Africa,United States,False,13415.6,6,42.3529,-83.1271,
2xnQdwiCve2rHWVt_1,Thailand,Germany,False,8891.5,59,50.1106,8.6821,
2xnQdwiCve2rHWVt_2,Bangladesh,Bangladesh,True,219.7,4480,23.7,90.4,
2xnQdwiCve2rHWVt_3,Indonesia,India,False,3966.7,688,13.0837,80.2702,
2xnQdwiCve2rHWVt_4,Poland,United Kingdom,False,1312.1,2594,51.5074,-0.1278,
2xnQdwiCve2rHWVt_5,Portugal,Spain,False,409.2,4075,40.4637,-3.7492,
3I4ZtihbhZy5qZzQ_1,Bangladesh,Germany,False,7249.0,133,51.1657,10.4515,
3I4ZtihbhZy5qZzQ_2,Australia,Australia,True,1592.8,2255,-33.494,143.21,
3I4ZtihbhZy5qZzQ_3,Canada,United States,False,2166.5,1692,41.8781,-87.6298,
3I4ZtihbhZy5qZzQ_4,New Zealand,United Kingdom,False,18666.0,0,52.35,-1.55,
3I4ZtihbhZy5qZzQ_5,Panama,United Kingdom,False,8351.9,77,50.6096,-2.4543,
3OuVMcpGjmm0tVfG_1,Indonesia,Thailand,False,2547.7,1399,15.0,100.0,
3OuVMcpGjmm0tVfG_2,New Zealand,Germany,False,17989.9,1,51.1657,10.4515,
3OuVMcpGjmm0tVfG_3,Indonesia,Indonesia,True,726.4,3477,-5.1477,115.7126,
3OuVMcpGjmm0tVfG_4,Brazil,United States,False,6855.6,162,38.9072,-77.0369,
3OuVMcpGjmm0tVfG_5,Argentina,Australia,False,14269.4,4,-25.2744,133.9213,
3uP6lYo9pzx5Q0km_1,Norway,United States,False,7131.7,141,46.2649,-120.3005,
3uP6lYo9pzx5Q0km_2,Norway,Canada,False,6052.2,243,56.1304,-106.3468,
3uP6lYo9pzx5Q0km_3,Czechia,United Kingdom,False,1172.0,2783,51.5074,-0.1278,
3uP6lYo9pzx5Q0km_4,Indonesia,United Kingdom,False,12598.5,9,52.35,-1.17,
3uP6lYo9pzx5Q0km_5,Montenegro,Brazil,False,9448.4,44,-15.7939,-47.8825,
4UvmdTHySo6AXW4M_1,Luxembourg,Brazil,False,9021.2,55,-15.7939,-47.8825,
4UvmdTHySo6AXW4M_2,Brazil,Spain,False,8251.4,81,40.4637,-3.7492,
4UvmdTHySo6AXW4M_3,Poland,Germany,False,739.7,3454,51.1657,10.4515,
4UvmdTHySo6AXW4M_4,United States,Australia,False,13626.3,5,-33.494,143.2104,
4UvmdTHySo6AXW4M_5,Cambodia,India,False,3413.7,907,30.9293,75.5005,
56Q4T4rpv9O9sCpP_1,Switzerland,Switzerland,True,99.5,4757,46.8182,8.2275,
56Q4T4rpv9O9sCpP_2,South Africa,United Kingdom,False,10212.4,30,55.3781,-3.436,
56Q4T4rpv9O9sCpP_3,Sri Lanka,India,False,671.8,3573,13.0827,80.2707,
56Q4T4rpv9O9sCpP_4,Australia,Australia,True,897.4,3192,-35.2809,149.13,
56Q4T4rpv9O9sCpP_5,South Africa,United States,False,14563.4,3,39.1135,-94.6265,
