location_id,gt_country,predicted_country,country_match,dist_km,geoguessr_score,pred_lat,pred_lon,error
1NJsXTxIF9GGMDxC_1,Kyrgyzstan,,False,,0,,,
1NJsXTxIF9GGMDxC_2,Malaysia,Namibia,False,9728.6,39,-22.0,15.0,
1NJsXTxIF9GGMDxC_3,Serbia,Germany,False,1081.8,2911,52.5174,13.3951,
1NJsXTxIF9GGMDxC_4,Argentina,United States,False,17496.8,1,41.6,93.61,
1NJsXTxIF9GGMDxC_5,South Africa,United States,False,14944.4,3,39.4169,-101.2921,
2xnQdwiCve2rHWVt_1,Thailand,Germany,False,8846.6,60,51.0,9.0,
2xnQdwiCve2rHWVt_2,Bangladesh,Bangladesh,True,218.0,4484,23.7104,90.4125,
2xnQdwiCve2rHWVt_3,Indonesia,Vietnam,False,2067.9,1778,16.0596,108.2772,
2xnQdwiCve2rHWVt_4,Poland,Spain,False,1878.5,1955,39.4699,0.3763,
2xnQdwiCve2rHWVt_5,Portugal,United States,False,8968.6,56,34.0522,-118.2437,
3I4ZtihbhZy5qZzQ_1,Bangladesh,Indonesia,False,3786.8,753,-6.2088,106.8456,
3I4ZtihbhZy5qZzQ_2,Australia,United States,False,13417.6,6,39.8097,-98.5556,
3I4ZtihbhZy5qZzQ_3,Canada,United States,False,1600.4,2246,44.98,-93.27,
3I4ZtihbhZy5qZzQ_4,New Zealand,Spain,False,19953.9,0,40.4168,-3.7038,
3I4ZtihbhZy5qZzQ_5,Panama,Namibia,False,11069.8,20,-22.0,17.0,
3OuVMcpGjmm0tVfG_1,Indonesia,Indonesia,True,1078.8,2916,-6.2088,106.8456,
3OuVMcpGjmm0tVfG_2,New Zealand,Poland,False,17339.0,1,52.23,21.01,
3OuVMcpGjmm0tVfG_3,Indonesia,Indonesia,True,348.9,4200,-6.2088,106.8456,
3OuVMcpGjmm0tVfG_4,Brazil,United States,False,9414.5,45,35.5,-116.25,
3OuVMcpGjmm0tVfG_5,Argentina,United Kingdom,False,10348.7,28,52.35,-1.82,
3uP6lYo9pzx5Q0km_1,Norway,Canada,False,6438.2,200,54.5,-125.25,
3uP6lYo9pzx5Q0km_2,Norway,Sweden,False,381.1,4133,59.8333,17.6561,
3uP6lYo9pzx5Q0km_3,Czechia,Netherlands,False,820.5,3317,52.1564,5.3872,
3uP6lYo9pzx5Q0km_4,Indonesia,Brazil,False,17737.0,1,-10.0,-55.0,
3uP6lYo9pzx5Q0km_5,Montenegro,Namibia,False,7280.2,131,-22.5,14.5,
4UvmdTHySo6AXW4M_1,Luxembourg,New Zealand,False,18683.8,0,-43.0,172.0,
4UvmdTHySo6AXW4M_2,Brazil,India,False,14803.4,3,20.5937,78.9629,
4UvmdTHySo6AXW4M_3,Poland,Namibia,False,8412.0,75,-22.5,17.5,
4UvmdTHySo6AXW4M_4,United States,Israel,False,11511.7,16,31.25,34.85,
4UvmdTHySo6AXW4M_5,Cambodia,India,False,3413.7,907,30.9293,75.5005,
56Q4T4rpv9O9sCpP_1,Switzerland,Switzerland,True,6.0,4985,46.9733,9.45,
56Q4T4rpv9O9sCpP_2,South Africa,Namibia,False,1393.1,2491,-22.0,17.0,
56Q4T4rpv9O9sCpP_3,Sri Lanka,India,False,671.8,3573,13.0827,80.2707,
56Q4T4rpv9O9sCpP_4,Australia,United Kingdom,False,16244.7,1,52.5,-1.5,
56Q4T4rpv9O9sCpP_5,South Africa,United States,False,15021.3,3,40.0,-100.0,
5GS2RPgTrf85UZM5_1,Bulgaria,Chile,False,13298.6,6,-38.5,-72.5,
5GS2RPgTrf85UZM5_2,United Kingdom,United Kingdom,True,266.9,4375,52.35,-1.85,
5GS2RPgTrf85UZM5_3,"Bolivia, Plurinational State of",United States,False,7475.7,119,39.8097,-98.5556,
5GS2RPgTrf85UZM5_4,Jordan,Jordan,True,4.3,4989,31.9522,35.9101,
5GS2RPgTrf85UZM5_5,Belgium,Netherlands,False,140.1,4662,52.1326,5.2913,
5bPlIRT7eGN79a2E_1,Philippines,Malaysia,False,2794.0,1237,3.1456,101.7117,
5bPlIRT7eGN79a2E_2,Canada,Puerto Rico,False,4793.4,455,18.2208,-66.5901,
5bPlIRT7eGN79a2E_3,Mexico,Namibia,False,14317.6,4,-22.5,15.5,
5bPlIRT7eGN79a2E_4,Viet Nam,Vietnam,True,1123.3,2851,12.5,108.5,
5bPlIRT7eGN79a2E_5,Chile,United States,False,9999.0,34,35.0,-100.0,
5l0GTCFZI877KxkV_1,Mexico,United States,False,2100.7,1749,40.0,-90.0,
5l0GTCFZI877KxkV_2,Thailand,United Kingdom,False,9731.1,39,52.2055,0.1187,
5l0GTCFZI877KxkV_3,Russian Federation,Namibia,False,8632.2,67,-22.5,15.5,
5l0GTCFZI877KxkV_4,Japan,United Kingdom,False,9515.5,43,52.3547,-1.1781,
5l0GTCFZI877KxkV_5,Norway,United States,False,6670.8,178,47.6062,-122.3321,
67gLC5CcGgkQIWEW_1,Ukraine,Chile,False,13701.4,5,-38.4167,-72.2167,
67gLC5CcGgkQIWEW_2,Bulgaria,Bulgaria,True,263.9,4382,42.6977,23.3245,
67gLC5CcGgkQIWEW_3,Romania,Mexico,False,7095.8,144,23.6345,102.5528,
67gLC5CcGgkQIWEW_4,"Korea, Republic of",South Korea,True,70.9,4826,37.2675,127.0425,
67gLC5CcGgkQIWEW_5,Philippines,United States,False,12973.2,8,39.8097,-98.5556,
6fGwHxCTvCbaK77Q_1,Brazil,Kenya,False,9371.4,46,-0.5,35.5,
6fGwHxCTvCbaK77Q_2,India,Thailand,False,2302.6,1581,7.8139,98.3454,
6fGwHxCTvCbaK77Q_3,Russian Federation,Germany,False,5589.0,306,51.1657,13.7489,
6fGwHxCTvCbaK77Q_4,New Zealand,Australia,False,2392.3,1512,-33.8688,151.2093,
6fGwHxCTvCbaK77Q_5,Uruguay,Madagascar,False,9908.5,35,-18.9333,47.5167,
6ypQOh9cOoE7WaWH_1,Montenegro,Spain,False,1888.1,1945,40.4168,-3.7038,
6ypQOh9cOoE7WaWH_2,Canada,Canada,True,413.4,4066,52.1333,-106.6667,
6ypQOh9cOoE7WaWH_3,Colombia,Netherlands,False,8534.6,70,52.374,4.8897,
6ypQOh9cOoE7WaWH_4,Argentina,United States,False,8522.2,71,39.1,-94.5,
6ypQOh9cOoE7WaWH_5,Australia,Brazil,False,14664.1,3,-10.0,-55.0,
74bPHM081cMUaNKT_1,Mongolia,United States,False,9911.2,35,40.0,-90.0,
74bPHM081cMUaNKT_2,South Africa,United States,False,16082.4,2,32.75,-113.75,
74bPHM081cMUaNKT_3,Andorra,Colombia,False,8020.0,91,10.9833,-74.25,
74bPHM081cMUaNKT_4,Kenya,United States,False,15355.7,2,34.0522,-118.2437,
74bPHM081cMUaNKT_5,Türkiye,India,False,4666.1,485,23.0,77.0,
8G5DpHP2KCtVKrk9_1,Brazil,Namibia,False,6010.5,248,-22.0,17.0,
8G5DpHP2KCtVKrk9_2,Canada,United States,False,2818.7,1222,39.8097,-98.5556,
8G5DpHP2KCtVKrk9_3,France,United Kingdom,False,448.6,3995,52.35,1.15,
8G5DpHP2KCtVKrk9_4,Japan,South Africa,False,14758.6,3,-33.547,20.7275,
8G5DpHP2KCtVKrk9_5,Mexico,United States,False,2152.4,1704,39.8097,-98.5556,
8Uo6ejwXYqmp9av3_1,Thailand,Germany,False,8952.8,57,51.0,9.0,
8Uo6ejwXYqmp9av3_2,Norway,Norway,True,144.5,4651,60.65,10.95,
8Uo6ejwXYqmp9av3_3,Ecuador,Mexico,False,3140.6,1040,19.4326,-99.1332,
8Uo6ejwXYqmp9av3_4,"Korea, Republic of",United States,False,10098.1,32,39.8333,-98.5833,
8Uo6ejwXYqmp9av3_5,Botswana,United States,False,15532.9,2,33.4484,-112.074,
9NNxopqtafH8pTbN_1,Australia,Namibia,False,11349.8,17,-22.0,15.0,
9NNxopqtafH8pTbN_2,Netherlands,Netherlands,True,122.2,4704,52.3702,4.8952,
9NNxopqtafH8pTbN_3,Panama,Netherlands,False,9030.1,55,52.1326,5.2913,
9NNxopqtafH8pTbN_4,Indonesia,Thailand,False,1495.8,2367,13.7367,100.5232,
9NNxopqtafH8pTbN_5,Spain,Greece,False,2440.4,1476,37.9838,23.7275,
9lNwy1vjD53PTSwt_1,Ukraine,Brazil,False,7277.3,131,-15.7939,47.8825,
9lNwy1vjD53PTSwt_2,Greece,Spain,False,2789.7,1239,39.85,-6.5,
9lNwy1vjD53PTSwt_3,Spain,Namibia,False,6947.9,155,-22.0,15.0,
9lNwy1vjD53PTSwt_4,Malaysia,Malaysia,True,337.8,4223,3.1458,101.6932,
9lNwy1vjD53PTSwt_5,American Samoa,United Kingdom,False,15668.5,2,52.35,-1.85,
9oZfZYQEl9GWjZPu_1,Brazil,United States,False,7203.9,136,30.4381,-84.2809,
9oZfZYQEl9GWjZPu_2,Japan,South Korea,False,573.5,3754,36.5,128.5,
9oZfZYQEl9GWjZPu_3,South Africa,India,False,7770.8,103,22.9734,78.1198,
9oZfZYQEl9GWjZPu_4,Peru,United States,False,5388.9,338,39.8097,-98.5556,
9oZfZYQEl9GWjZPu_5,India,Namibia,False,8036.5,90,-22.0,15.0,
AVKTblAzBqaYrcKe_1,United States,United States,True,2125.5,1727,39.8097,-98.5556,
AVKTblAzBqaYrcKe_2,Senegal,United States,False,10086.4,32,32.7157,-117.1611,
AVKTblAzBqaYrcKe_3,Norway,Norway,True,284.1,4338,59.9139,10.7522,
AVKTblAzBqaYrcKe_4,United States,United States,True,11582.6,15,39.8333,98.5858,
AVKTblAzBqaYrcKe_5,Brazil,Romania,False,10933.2,21,45.9047,25.0,
