location_id,gt_country,predicted_country,country_match,dist_km,geoguessr_score,pred_lat,pred_lon,error
1NJsXTxIF9GGMDxC_1,Kyrgyzstan,Russia,False,2935.8,1152,57.5,41.0,
1NJsXTxIF9GGMDxC_2,Malaysia,Rwanda,False,7772.4,103,-1.9449,30.1435,
1NJsXTxIF9GGMDxC_3,Serbia,Spain,False,1987.0,1851,40.4168,-3.7035,
1NJsXTxIF9GGMDxC_4,Argentina,United States,False,7873.8,98,37.1232,-78.4928,
1NJsXTxIF9GGMDxC_5,South Africa,United States,False,14944.4,3,39.4169,-101.2921,
2xnQdwiCve2rHWVt_1,Thailand,Brazil,False,16687.1,1,-20.0067,-45.9767,
2xnQdwiCve2rHWVt_2,Bangladesh,Bangladesh,True,216.8,4486,23.7644,90.389,
2xnQdwiCve2rHWVt_3,Indonesia,Brazil,False,16653.1,1,-20.0067,-45.9767,
2xnQdwiCve2rHWVt_4,Poland,Belgium,False,962.7,3090,50.3155,5.0098,
2xnQdwiCve2rHWVt_5,Portugal,United States,False,8794.6,62,36.7015,-118.756,
3I4ZtihbhZy5qZzQ_1,Bangladesh,United States,False,14277.2,4,27.7568,-81.464,
3I4ZtihbhZy5qZzQ_2,Australia,United States,False,14676.6,3,42.3529,-83.1271,
3I4ZtihbhZy5qZzQ_3,Canada,United States,False,2457.1,1464,42.3529,-83.1271,
3I4ZtihbhZy5qZzQ_4,New Zealand,United States,False,13340.4,6,41.8756,-87.6244,
3I4ZtihbhZy5qZzQ_5,Panama,Germany,False,9349.6,47,48.9468,11.4039,
3OuVMcpGjmm0tVfG_1,Indonesia,Vietnam,False,1734.2,2101,9.7509,105.2225,
3OuVMcpGjmm0tVfG_2,New Zealand,South Korea,False,9613.7,41,37.5665,126.978,
3OuVMcpGjmm0tVfG_3,Indonesia,Indonesia,True,331.0,4237,-7.9771,112.634,
3OuVMcpGjmm0tVfG_4,Brazil,United States,False,7478.0,119,42.3529,-83.1271,
3OuVMcpGjmm0tVfG_5,Argentina,United States,False,8092.5,87,33.4484,-112.0741,
3uP6lYo9pzx5Q0km_1,Norway,United States,False,6567.8,187,35.75,-82.25,
3uP6lYo9pzx5Q0km_2,Norway,Sweden,False,1013.7,3012,66.5284,22.9531,
3uP6lYo9pzx5Q0km_3,Czechia,Belgium,False,798.8,3354,50.3155,5.0098,
3uP6lYo9pzx5Q0km_4,Indonesia,Vietnam,False,3685.8,792,22.7336,105.0027,
3uP6lYo9pzx5Q0km_5,Montenegro,Canada,False,6743.1,172,46.8137,-71.2084,
4UvmdTHySo6AXW4M_1,Luxembourg,Italy,False,707.9,3509,45.4046,12.3105,
4UvmdTHySo6AXW4M_2,Brazil,Spain,False,8004.8,91,39.1748,-6.153,
4UvmdTHySo6AXW4M_3,Poland,France,False,1704.8,2132,45.4039,0.3756,
4UvmdTHySo6AXW4M_4,United States,United States,True,731.3,3469,39.5159,-116.8537,
4UvmdTHySo6AXW4M_5,Cambodia,Brazil,False,16646.7,1,-20.0067,-45.9767,
56Q4T4rpv9O9sCpP_1,Switzerland,Switzerland,True,62.3,4847,46.4979,9.8392,
56Q4T4rpv9O9sCpP_2,South Africa,India,False,8528.6,70,18.6667,78.0,
56Q4T4rpv9O9sCpP_3,Sri Lanka,Brazil,False,14033.7,4,-20.0067,-45.9767,
56Q4T4rpv9O9sCpP_4,Australia,United States,False,13589.5,6,39.4169,-101.2921,
56Q4T4rpv9O9sCpP_5,South Africa,Canada,False,12749.5,9,46.8137,-71.2084,
5GS2RPgTrf85UZM5_1,Bulgaria,United States,False,8301.0,79,37.3305,-79.8212,
5GS2RPgTrf85UZM5_2,United Kingdom,United Kingdom,True,513.0,3869,50.4433,-4.6247,
5GS2RPgTrf85UZM5_3,"Bolivia, Plurinational State of",United States,False,7103.3,143,42.3529,-83.1271,
5GS2RPgTrf85UZM5_4,Jordan,Saudi Arabia,False,1271.5,2648,23.8859,45.0591,
5GS2RPgTrf85UZM5_5,Belgium,Netherlands,False,156.6,4623,52.3731,4.8925,
5bPlIRT7eGN79a2E_1,Philippines,India,False,5500.9,320,10.3529,76.512,
5bPlIRT7eGN79a2E_2,Canada,United States,False,1480.5,2385,41.8287,-87.9991,
5bPlIRT7eGN79a2E_3,Mexico,United States,False,1240.4,2689,39.5159,-116.8537,
5bPlIRT7eGN79a2E_4,Viet Nam,Vietnam,True,1028.1,2990,13.3167,108.2279,
5bPlIRT7eGN79a2E_5,Chile,United States,False,10502.1,26,39.4169,-101.2921,
5l0GTCFZI877KxkV_1,Mexico,Canada,False,2462.1,1460,42.9744,-82.4035,
5l0GTCFZI877KxkV_2,Thailand,Indonesia,False,2326.7,1562,-6.1754,106.8272,
5l0GTCFZI877KxkV_3,Russian Federation,Germany,False,1512.7,2347,53.6,10.4,
5l0GTCFZI877KxkV_4,Japan,France,False,9485.0,44,48.0117,7.5851,
5l0GTCFZI877KxkV_5,Norway,Rwanda,False,7977.7,93,-2.5532,29.3447,
67gLC5CcGgkQIWEW_1,Ukraine,Germany,False,1043.4,2968,48.9468,11.4039,
67gLC5CcGgkQIWEW_2,Bulgaria,Bulgaria,True,263.9,4382,42.6977,23.3245,
67gLC5CcGgkQIWEW_3,Romania,Vietnam,False,7542.2,115,21.0283,105.854,
67gLC5CcGgkQIWEW_4,"Korea, Republic of",South Korea,True,47.2,4883,37.5667,126.9783,
67gLC5CcGgkQIWEW_5,Philippines,Vietnam,False,1843.4,1989,15.9267,107.9651,
6fGwHxCTvCbaK77Q_1,Brazil,Brazil,True,858.6,3255,-15.0,-47.0,
6fGwHxCTvCbaK77Q_2,India,Madagascar,False,6560.3,188,-18.91,47.5256,
6fGwHxCTvCbaK77Q_3,Russian Federation,United States,False,9158.6,51,43.6196,-84.1758,
6fGwHxCTvCbaK77Q_4,New Zealand,Russia,False,16456.4,1,55.7558,37.6176,
6fGwHxCTvCbaK77Q_5,Uruguay,United States,False,9045.4,54,42.3529,-83.1271,
6ypQOh9cOoE7WaWH_1,Montenegro,Germany,False,898.8,3190,48.9468,11.4039,
6ypQOh9cOoE7WaWH_2,Canada,Canada,True,416.7,4060,52.1472,-106.6243,
6ypQOh9cOoE7WaWH_3,Colombia,Vietnam,False,17432.2,1,15.888,108.3368,
6ypQOh9cOoE7WaWH_4,Argentina,France,False,11235.5,18,47.2781,4.2225,
6ypQOh9cOoE7WaWH_5,Australia,Argentina,False,12116.0,12,-34.6096,-58.3888,
74bPHM081cMUaNKT_1,Mongolia,United States,False,9814.2,37,42.3529,-83.1271,
74bPHM081cMUaNKT_2,South Africa,United States,False,15920.1,2,34.3953,-111.7633,
74bPHM081cMUaNKT_3,Andorra,Italy,False,791.5,3366,43.4587,11.1389,
74bPHM081cMUaNKT_4,Kenya,South Africa,False,4153.6,627,-33.9288,18.4172,
